,event_id,event_date,customer_id,take_in,group_ids,teacher_ids,attendance_id,month,weekday,day
0,5,2020-05-22,47,attend,2,6,12,May,Friday,22
1,15,2020-06-03,354,attend,5,4,57,June,Wednesday,3
2,34,2020-06-17,183,attend,5,4,158,June,Wednesday,17
3,22,2020-06-11,12,attend,1,3,95,June,Thursday,11
4,36,2020-06-19,260,attend,5,4,185,June,Friday,19
5,3,2020-05-21,197,attend,1,3,5,May,Thursday,21
6,30,2020-06-18,419,attend,3,5,165,June,Thursday,18
7,8,2020-05-26,47,attend,2,6,24,May,Tuesday,26
8,25,2020-06-10,401,attend,5,4,108,June,Wednesday,10
9,34,2020-06-17,354,attend,5,4,159,June,Wednesday,17
10,59,2020-07-08,700,attend,5,4,288,July,Wednesday,8
12,5,2020-05-22,137,attend,2,6,11,May,Friday,22
13,43,2020-06-25,52,attend,3,5,207,June,Thursday,25
15,20,2020-06-06,249,attend,1,3,87,June,Saturday,6
16,58,2020-07-15,654,attend,5,4,328,July,Wednesday,15
17,14,2020-06-02,308,attend,2,6,49,June,Tuesday,2
18,35,2020-06-17,593,attend,1,3,167,June,Wednesday,17
19,50,2020-07-01,137,attend,2,7,239,July,Wednesday,1
20,52,2020-07-01,700,attend,5,4,249,July,Wednesday,1
21,53,2020-07-02,452,attend,3,5,258,July,Thursday,2
22,15,2020-06-03,183,attend,5,4,56,June,Wednesday,3
23,19,2020-06-05,258,attend,5,4,83,June,Friday,5
24,8,2020-05-26,192,attend,2,6,21,May,Tuesday,26
25,45,2020-06-26,192,attend,2,6,218,June,Friday,26
26,16,2020-06-04,345,attend,1,3,68,June,Thursday,4
28,15,2020-06-03,295,attend,5,4,55,June,Wednesday,3
29,55,2020-07-03,360,attend,5,4,271,July,Friday,3
30,5,2020-05-22,192,attend,2,6,9,May,Friday,22
32,57,2020-07-07,590,attend,1,3,281,July,Tuesday,7
34,24,2020-06-10,435,attend,2,6,102,June,Wednesday,10
